Gene	r2	r3	r4	r5
MGI:1333876	1.0193337	0.7173882	1.3787556	0.57257354
Tuba2	1.2081519	0.6092888	1.2867486	0.81016433
Ccnd2	0.86297244	1.1099848	0.7448094	1.5456481
Ppp2ca	1.4959501	0.93781936	0.7076169	1.0458127
Oxr1	0.9329369	1.0112667	0.750213	1.4331454
Kcnip1	1.1118772	0.8950211	1.934959	0.76848084
Glrx1	0.85609597	1.2564081	0.61782026	0.9546892
Rap2b	1.3586847	0.94600683	1.0885141	0.9120585
Lsp1	1.645436	1.0223972	0.9093207	0.63155484
Ece1	0.692467	1.0900457	0.83143127	1.3847334
Tgfb2	0.8416974	0.81956697	1.0278863	1.6070226
Snx9	1.0700291	0.97265494	0.9006297	1.4441185
1500011J06Rik	0.98192173	1.0630689	0.64162576	1.0145581
Irx2	1.304913	1.6167343	0.7830318	0.9006735
Tns1	0.54059875	0.8967743	1.210461	1.1212969
Gas5	0.95996714	1.1337636	0.80687547	1.4267105
Spry2	1.1605155	0.60466886	1.0213606	0.9845414
Acaa2	0.68499327	1.1566718	0.7874987	1.5947824
Irx1	1.4475646	0.90286356	0.812723	1.0496994
Serf1	1.469969	0.8969403	1.008424	0.59071827
Nab1	0.54671234	0.9908685	0.81518966	2.2997396
Nnat	0.8325455	0.8778084	1.1125399	1.7204494
Oprl1	1.0948656	0.8197556	1.4362235	0.7627397
Gsh1	1.415961	1.3475313	0.8061136	0.3527862
Cab39l	1.016283	1.3715456	0.82346183	1.0376189
Col18a1	0.88815355	0.9522581	0.894968	1.3459879
Nudcd2	0.9056128	1.2785037	0.840785	1.336545
Cyp51	0.9107351	0.9477343	1.0277952	1.3476967
Foxa3	0.9977942	0.68466204	1.4415538	0.9924399
2900006B13Rik	0.9784956	1.2193842	0.5442585	0.9348797
Mmd2	1.5397061	1.2074102	0.73096836	0.8983824
Sdh1	1.1551856	1.4565431	0.92481494	0.9339965
Cnih2	0.95478046	0.91681176	0.6955065	1.4426192
Btbd4	0.77109754	1.0057049	0.9484582	1.3313534
Epha4	0.7151564	1.6160598	0.4475605	1.221791
Lip1	1.5065	0.795216	1.3481327	0.59257597
Isl1	1.6561029	0.8546843	1.068628	0.6454036
Vamp3	1.0652599	1.0734708	1.4038912	0.8639932
Topors	0.9999353	0.98144966	0.7811899	1.3657848
Ptprj ; AW125753	0.6615984	1.1107694	0.8122692	3.4373007
Pcbd1	0.8682999	0.916844	0.87751245	1.3955011
Ebf1	2.245368	1.0189456	1.0850179	0.3981705
Fyttd1	0.8216945	1.259435	0.7434743	1.4925015
Ldb2	1.5102906	1.0947716	1.0077103	0.6605456
Chrna3	1.7241839	0.9332862	1.2182393	0.7347611
Ankrd24	0.91854626	1.0122846	1.079511	0.66091
Trfp	0.8843233	1.377015	0.69311863	1.1723572
Phka1	1.3613857	1.0659736	0.97641814	0.8415586
Ophn1	1.1259518	1.3788818	1.017024	0.509723
Meis1	0.9626904	1.3641003	0.7859646	0.9902934
Serpinb9f ; Serpinb9e ; Serpinb9g ; LOC544923	1.1771083	0.82459724	1.8127798	0.857338
Actb	2.661665	0.97260284	1.3596824	0.7044164
Vangl1	0.85439837	0.9556434	0.85373193	1.4228078
Myo1d	0.8175757	0.9230772	1.7585862	0.8459309
Zic1	0.768722	1.3812068	0.853948	1.172109
Vldlr	0.9344917	1.1912035	1.4327794	0.88620746
Apcdd1	1.3125736	1.581279	0.5776078	0.8316156
Fgfbp1	1.4916558	0.9563767	0.9928429	0.63602626
C130076O07Rik	0.84265983	0.9843492	1.0146705	1.4609113
Asb4	1.4987777	1.0003604	0.8089455	0.69474936
Pklr	1.0450637	0.89228666	1.6949811	1.0161036
Ddc	1.0798855	1.3792809	0.8307889	0.880025
Peg3	0.8637363	1.0437683	1.0023459	1.6590899
Nsg2	0.7279975	1.0122814	0.92662936	1.8986841
Pdlim5	0.81733465	0.924567	0.8600278	1.6282942
Plac8	0.97914034	0.9114165	0.970227	2.0537694
Vcam1	2.248357	1.318678	0.8088968	0.7355392
Gng3	1.1743464	0.8451369	1.0544761	0.55722123
Ddb2	0.9714151	1.074445	0.5796089	1.0468601
4122402O22Rik	0.9432703	1.1017648	0.8071931	1.4188349
Olig3	0.9183695	1.2523818	0.7004481	1.3376067
Igfbp5	1.0672753	1.0824674	0.89519775	1.6372142
Pcm1	0.913336	0.9826409	0.76127017	1.4605038
Pycs	1.044298	1.5026237	0.90290356	0.95126647
1200003E16Rik	0.62062055	1.0479953	0.9945977	1.1819798
Smoc1	1.2134187	1.5678923	0.87487483	0.657652
Susd4	1.6055077	0.87436336	1.094984	0.5085011
Nr3c1	1.482591	0.77569413	0.7737233	0.9479334
Wdr36	0.896764	1.0797546	0.83173305	1.3374801
Pkp2	0.7300657	1.1760195	0.89096624	1.6039926
C030019F02Rik	1.2468889	1.0978117	0.61233526	0.6140783
Cbx3	1.1003512	1.1031835	0.7875246	1.3986329
Dhcr24	0.72024685	1.0800316	0.83197284	1.5310562
Crabp1	0.733462	0.9374853	1.0599908	1.513921
Hist1h2bp	1.2295781	0.58973736	1.061549	1.0027019
Nptx1	1.3306752	0.8538674	1.543691	0.7865134
Frzb	1.0419708	1.3860941	0.61936116	0.90624404
2610018G03Rik	1.1338106	0.9076425	0.8218168	1.5034039
Igfbp4	0.89811265	0.8943225	1.4351369	1.0528344
Efnb2	1.100334	1.2406818	0.64652604	0.8841512
Tufm	0.9910475	0.9493079	0.8275216	1.393056
Pon2	1.1218698	1.2227551	0.6328016	0.989023
Dab1	1.0566419	0.8845059	1.3655252	0.9478376
Sh3md2	0.8937699	1.1170232	0.7407901	1.5382951
Car4	0.8260732	1.7243688	0.7480882	1.2980512
Pvrl3	0.78909004	0.96418524	0.9231876	1.4037567
Col5a1	0.83762413	1.1465452	0.7918795	1.8027068
Wbscr16	0.9357693	1.0164745	0.9631496	1.377347
Col11a1	1.0146142	1.0284536	0.8590665	1.6808798
Pipox	1.3212487	1.2210643	1.0076628	0.72556144
Il17	1.0363296	0.56371486	1.0714538	1.1504393
Ndst4	1.3300573	0.6757615	1.1208786	0.76696366
Idi1	0.78304535	1.094729	0.9497319	1.3618098
Cpsf2	0.77105016	1.1364273	0.8191385	1.3321592
Rab6b	0.81324524	1.1613473	1.5842001	0.81032395
Gas5	0.951056	1.0649698	0.92414296	1.4995543
6330403K07Rik	0.7522407	1.0696273	0.79443645	1.3999722
Lman1	0.78771627	1.2793175	0.8213933	1.6599894
D11Ertd730e	0.9588699	1.3477727	0.5735614	1.1260979
Cbln1	1.7124592	0.9068354	1.0630617	0.7881189
Hs6st2	1.1875641	1.0250757	0.6510314	0.8967303
Phyhipl	0.5262596	0.735903	1.1568339	1.1692741
Cspg3	1.3444659	0.97319984	1.0386684	0.5903959
Sema3f	0.87312907	0.8810964	0.53812313	2.7400405
Myo6	1.1354427	0.9063171	1.3234186	0.6234168
Kctd12	0.6213336	1.0163068	0.9697102	1.5222565
Dab2	1.04213	0.92282903	0.89854634	1.5099912
Bhlhb5	0.9132371	0.9408991	1.7989511	0.81160843
Fgf13	0.9182433	1.2347755	0.6811346	1.4299265
Gap43	1.4641869	0.9190898	1.1857157	0.51270175
Sema4g	0.911321	1.035302	1.406797	0.8366594
Ctnna2	1.3630328	1.1170043	0.87019104	0.53266627
Mtap7	0.54768425	1.2742778	0.7574369	2.0169308
Itm2a	0.750924	1.1897526	0.72506195	1.5620141
C1ql1	1.0898813	0.6962441	1.5177947	0.9662846
Zfp503	0.7314584	1.3563509	0.69092834	1.2945042
Slc18a1	1.0493054	0.6517024	1.2546993	0.9406261
Mafb	1.2816454	0.9266475	0.5250187	1.076086
Krt2-8	0.8039988	1.0403541	0.96117586	1.4661713
Boc	1.4095998	1.290222	0.8479088	0.572599
D130043N08Rik	0.893277	0.92502856	1.092438	1.8986315
Bcar3	1.5521443	0.8783345	1.0929312	0.8302353
Itsn2	0.89239395	0.8718428	1.4135959	1.0428299
9430041P20Rik	1.0970722	1.1329277	1.2530826	0.56631494
Ptprt	0.8789227	0.8160959	1.5375342	1.0191532
Odz4	0.66031206	0.8635753	1.0517732	2.6964097
Ccnd2	0.92050934	1.130594	0.8439371	1.5271912
Pex6	1.1581829	0.5918914	1.01366	0.9372216
Fbn2	0.92701936	1.1257584	0.7875984	1.9754004
Suox	1.4674548	1.0556284	0.84696585	0.89546317
Kif1b	0.66356665	0.93159586	1.0255077	1.1187245
Mef2c	0.4206304	0.8346309	1.3631114	1.1812148
Ltbp1	1.5459057	1.2288046	0.6843707	0.8056308
Mid1ip1	0.8920168	1.0421147	1.0137966	1.3860935
Olfm1	0.8677603	1.1126655	1.6492074	0.78662074
Top1mt	0.86767423	1.1575391	0.63233304	1.149198
2810405F18Rik	0.93495345	1.5765573	0.7541361	1.3054928
Bxdc1	1.5472641	0.8176278	1.1438102	0.56415105
Rptn	1.3598263	0.7622063	1.1508086	0.9527428
Itm2a	1.0784812	0.9965994	0.82265985	1.604503
Tagln	0.99299574	1.6086186	0.98688525	0.68050575
Kitl	0.9457153	0.56814903	1.0089232	2.033142
Pappa	0.8957918	0.93411624	0.97864074	1.4405501
Pcp4	1.0715513	0.7300773	1.7536975	0.6080365
Phox2a	0.82250416	0.9347779	2.154315	0.65257895
Mmp14	0.8122784	0.98530805	1.0204698	1.5818619
Cbln1	1.8121381	1.2510471	0.80794305	0.42304254
Ssty2 ; LOC382133 ; LOC382328 ; LOC382334 ; LOC434915 ; LOC434929 ; MGC107098 ; LOC434938 ; LOC434953 ; LOC434960 ; LOC434981 ; LOC434986 ; LOC435006 ; LOC435023 ; LOC435040 ; LOC546413 ; LOC546417 ; LOC546419 ; LOC546426 ; LOC546428 ; LOC546437 ; LOC546438 ; LOC546452 ; LOC546460 ; LOC546465	1.054647	0.9089099	1.5414287	0.9504678
Isl1	1.7545221	0.8964167	1.0102519	0.65552133
AI413331	0.87290835	0.99885714	0.9914197	1.7128748
Mrpl33	1.0411505	1.2023581	0.77963555	0.908607
Msx2	1.1599355	1.0551877	0.55403644	1.0980569
Gpm6a	1.7782512	1.1720788	0.8383306	0.781477
Col1a2	0.9544708	0.914853	1.0208849	1.6477338
Mef2c	0.34664974	0.98065907	1.0708668	1.6283048
Ssfa2	0.9624478	1.3611878	0.76271635	1.0878853
Glra1	1.10671	0.9897132	1.7022898	0.9437125
Plat	0.9016176	1.150659	0.8551802	1.6728789
Gng12	1.0663428	0.9869948	0.8299027	1.7013491
Tmcc3	0.9432868	0.83843994	1.6069721	1.1362919
Rln1	1.805959	1.5620902	0.7436196	0.57492834
Bpgm	1.0529947	1.1600429	0.6152705	0.9567232
Eif4ebp1	0.9359921	1.1205992	0.823398	1.3540051
Phyhipl	0.87025696	0.85489315	1.4792141	1.1330922
Trim62	1.5936732	0.7737836	1.0331652	0.866264
Spsb1	0.68818927	0.80657727	1.1885129	1.347088
Il18	1.1817522	0.81902754	1.1221323	0.47146302
Ube3a	0.74387795	1.2263327	0.85110146	1.358504
Apcdd1	1.3893384	1.4602933	0.7550116	0.9068354
Chuk	0.90321714	1.1993529	0.76356006	1.3243792
Crmp1	0.9275414	1.0646948	1.1666977	0.6398907
Csad	1.4920261	1.3659699	0.6773098	0.9020371
Sorl1	0.67948204	1.0189723	1.6025474	0.96006876
Sfrp1	0.82410467	0.8445672	1.1213603	2.0775192
Acss1	1.3553944	1.4380523	0.81463546	0.6250195
Sepp1	1.1424843	0.9406002	0.7641329	1.7256185
Abca1	0.6567817	0.9646633	1.2798434	1.4867967
Gpx3	0.65414375	0.8101789	1.892609	1.1428912
Rdh10	0.8379557	0.9221144	1.1274804	1.595438
Dpysl3	1.0594342	0.81533545	1.4596065	0.84843606
Sumo1	0.84626883	1.7054151	0.752061	1.4296525
2410003A14Rik	1.4387747	1.0884904	1.0858828	0.68819815
Plekhb1	0.7993381	1.0679201	0.9565226	1.5221024
Stmn2	1.1014234	0.79669034	1.1225582	0.43313244
Myo5b	0.83620226	1.2715619	0.48637667	1.3250686
Igfbp2	1.0873293	1.4634147	0.82740206	1.0354321
Ptgis	1.3396441	1.1132318	0.8359401	0.69254935
Gng12	0.84814346	0.9852605	0.8527739	1.5922467
Scap2	0.9631103	1.0474513	0.9793329	1.44328
Sfrp1	0.71132684	0.81517583	1.2302434	1.4122962
Pax7	0.93934476	1.5118381	0.8636694	0.91079634
Hoxa2	0.7846589	1.5359876	0.84355175	1.2168058
Msx1	0.9901943	1.6475834	0.6291929	1.0441258
Slc12a5	0.4634922	0.84687084	2.6699924	1.2109724
Rspo1	1.7154255	1.1917114	0.88848305	0.69762367
Nab2	0.39923108	1.7266032	0.5125449	1.9333594
BC022687	1.2163234	0.92652404	0.6676654	1.0145723
Ncam1	1.2573541	1.0854878	1.0623401	0.6512269
Nrip1	0.85642576	0.9910105	0.8647835	1.4020747
Lxn	0.80118984	1.2109127	0.7414641	1.70355
Phox2b	1.2398828	0.9472675	1.5140972	0.57053196
Cspg2	0.8819072	0.8086268	1.022106	1.9476748
Cspg2	0.77611524	1.1073698	0.92805094	1.5044268
Pxk	1.0055623	0.8659036	0.5264043	1.2220483
Mlf1	1.4822134	0.91697896	1.0964817	0.8576277
St8sia4	0.67289054	1.3460038	0.7740279	1.1996037
4933402J24Rik	0.8552616	1.0480804	1.3610893	0.62503916
Aplp2	0.90034956	0.96433574	0.92216665	1.6586298
Olig2	0.9473228	0.8681041	0.80153763	3.8096344
Zfp354c	0.74619347	1.0715066	1.4154526	1.0615546
Aldoc	0.648205	1.2722368	3.2883272	0.9575042
Atp1b1	1.6340377	1.3859491	0.8266481	0.74923134
Krt1-18	0.86835265	1.3938599	0.89925575	1.2194029
Plp1	2.1550486	1.0716597	0.9585021	0.5604075
Fgf3	0.7787128	0.9413835	1.0502717	2.4083986
Cwf19l1	0.99791634	1.0747589	0.4896485	1.0683717
Tcfap2a	0.98944247	0.9032631	1.2854642	0.63486904
2810421I24Rik	0.7329296	1.1447617	0.6110603	1.1200117
Lmo1	0.9508017	0.9877927	1.2403626	0.55167305
Epha7	0.86938155	1.3641576	0.82475936	1.5456183
Pax6	0.77021927	1.1411839	0.66305584	1.4365987
Cyp1b1	0.40796232	1.0799942	3.0969093	0.87070686
Boc	1.1429771	1.0801826	0.87136674	0.62973714
Car4	0.7581593	1.7985779	0.70912224	1.3246729
Lrrc4	0.72467136	0.7579728	1.440364	3.2842832
Bambi	1.2097486	0.9700391	0.52535796	1.0969282
Pde1b	1.0881853	1.106881	0.88788944	0.61020523
Insl6	1.6344817	1.813518	0.49523652	0.42442104
Cck	1.2161874	1.7359576	0.76433676	0.81598383
X99384	0.7440302	1.0805827	0.97626024	2.0941138
Park7	1.3914429	0.8107154	1.1939135	0.5244336
Igf2	0.96823585	1.3531065	1.0135229	0.7870523
Wwtr1	0.91912585	1.0637562	0.8098383	1.4540132
Wdr54	1.1928746	1.0763705	0.37473574	0.862531
Dscr1l1	0.71079725	1.0638773	0.7958342	3.7043545
Col11a1	0.9906659	0.9837216	0.746203	1.5404996
Ina	1.1282449	1.0076772	1.2410979	0.4805779
Mtm1	0.86518276	1.2021993	0.7857761	1.5599172
Myl9	0.9032865	1.6803842	0.8143054	1.241107
Stmn1	0.91771454	1.176399	0.5103588	1.0500855
5730449L18Rik	0.9912762	0.9189443	0.97154146	1.3543746
Tpm2	1.0374415	1.1476258	1.348219	0.7817117
Reln	1.2523668	0.9802034	1.0614606	0.6227306
Itpr1	0.98618394	1.4357628	0.903761	0.97848463
Park7	1.3396899	0.92467815	1.23475	0.55215025
Olfr49	1.1560018	0.76039624	1.4665667	0.6784093
Cmkor1	0.94895685	0.99617183	1.0106269	2.5440173
Slc9a3r1	0.93176144	1.0130757	0.7546445	1.4070191
Sdccag33	0.5583815	0.9810337	1.0339767	1.8113979
Purb	0.9567766	1.2309794	0.74897456	1.4472643
Olfml3	0.6248663	1.0131567	0.95915055	1.7695502
Tcfap2b	0.92127657	1.1323702	0.9506377	0.3760396
Cdc23	0.84686136	1.2684294	0.8459255	1.4115254
Pax3	1.0780035	1.5310186	0.92321515	0.8940982
Stmn3	1.2355391	0.84288895	1.2252901	0.5398478
Stmn2	1.2260995	0.94844	1.1082469	0.45082274
Hdgf	1.6252872	0.9272049	0.9818252	0.5595527
Gata2	0.8460103	1.0425668	3.3822322	0.7569536
Phlda1	1.6887001	1.076072	0.7956299	0.7087069
Epha4	0.76340634	1.6796987	0.6832404	1.4244173
Kcna1	0.63754404	1.1647713	0.8698266	6.013573
Dcx	1.2066021	1.0820268	0.96115315	0.55223
Tmem35	0.5786579	1.0814836	0.8145835	1.5843598
Nefl	1.271895	0.8284048	1.2064486	0.3352112
Cdc25c	1.0819671	1.4514222	1.0440148	0.96787095
Acaca	1.0116713	0.87385064	0.7969454	1.4287735
Cntnap2	1.6328268	1.2988814	0.7485693	0.6639204
Nrp2	2.0018246	1.0333537	1.053755	0.761806
Zadh2	0.9209932	0.97517633	1.0536647	1.396326
Nab1	0.47504574	1.1421337	0.9440111	3.0997188
Chgb	0.75393516	1.1985966	1.90504	0.79334867
Gata2	0.87449026	0.99792486	2.4878583	0.85455495
Ina	1.2398046	0.91308385	1.4899415	0.56034184
Hmgcs1	0.980426	1.1893231	0.92178255	1.3883528
Zic3	1.4968152	1.5038705	0.6657399	0.5720415
Egr2	0.58859116	0.88477486	0.9459665	7.5964
Ptx3	1.9182079	1.0866445	0.85193324	0.2991156
Hoxa3	0.53384775	0.8732661	1.510795	10.923562
AB041806	1.0109148	0.8022786	1.4329715	0.9747146
Nef3	1.3547277	0.88918996	1.1098784	0.3252732
Hoxa3	0.4091809	0.5124623	1.4591627	4.125838
Hoxb3	0.25705978	0.40227383	1.8346864	4.510124
Igfbp4	0.9950307	0.96336067	1.4656105	0.9873193
Hoxb2	0.12255347	0.94222426	1.1094028	1.5057719
Aldh1a7	0.5851047	0.76583356	1.2254319	1.9421636
Moxd1	0.91628	1.091751	0.979847	0.31892106
Lix1	1.5375087	1.4968156	0.13616768	0.731715
Hoxd3	0.976764	0.7783529	1.0367378	8.638132
Egr2	0.5199252	1.1087492	1.0963305	14.043444
D11Ertd730e	1.1135212	1.419036	0.967034	0.9835522
Zfp313	1.0546432	1.4869013	0.98913294	1.0358055
Hoxb1	0.2148422	1.785621	8.749448	0.41270784
Mtap7	0.6106545	1.4123627	0.70950973	1.9766148
